"fc";"pval.fc.fdr"
"ENSG00000004776.13";-3.02;0.00735781463820133
"ENSG00000004799.8";-2.53;0.00421383487542513
"ENSG00000005073.6";5.57;0.000423578314825618
"ENSG00000005249.13";-1.75;0.00186636568316902
"ENSG00000006747.15";-1.88;0.00641733148945903
"ENSG00000007038.11";3.55;0.00585800796475531
"ENSG00000008300.17";2.67;5.91596708671685e-05
"ENSG00000011426.11";1.87;0.000106363186594461
"ENSG00000011465.18";-1.58;0.00152209095579272
"ENSG00000013588.9";2.14;0.0012022588967247
"ENSG00000016082.15";-1.51;0.00253021462903818
"ENSG00000018625.15";-3.19;0.00153525174230011
"ENSG00000019102.12";-2.41;0.00664736355485561
"ENSG00000022267.19";-2.88;0.0025075945101885
"ENSG00000024526.17";1.57;0.00140910147988553
"ENSG00000025708.14";1.67;0.00624975694386426
"ENSG00000029993.15";1.86;0.000535461529596318
"ENSG00000036672.16";-2.34;0.00104075306893418
"ENSG00000037965.6";3.75;0.000475657338944525
"ENSG00000038945.15";1.89;0.000672510619759715
"ENSG00000043355.12";3.89;0.000272284370506701
"ENSG00000046653.15";-2.85;0.00238115019712335
"ENSG00000048342.17";-1.51;0.0028059626407491
"ENSG00000048462.11";-2.41;0.00567230722859782
"ENSG00000049246.14";-1.64;0.000325169553178166
"ENSG00000049249.9";1.74;0.00113318184816152
"ENSG00000049768.16";1.59;0.000500071000737046
"ENSG00000050030.16";-2.97;0.00027722164097379
"ENSG00000050344.9";2.31;1.99301700248339e-06
"ENSG00000050628.20";-1.93;0.00183451475362416
"ENSG00000050767.17";-1.58;0.000472718389053649
"ENSG00000051180.17";1.5;4.89600560680083e-06
"ENSG00000051341.14";1.56;0.000305136857637192
"ENSG00000053328.8";-2.82;0.00444721054542152
"ENSG00000054598.9";1.63;0.00578441421087025
"ENSG00000056736.10";2.11;0.00272087028621621
"ENSG00000058866.15";-1.94;0.0098951573857884
"ENSG00000060718.22";5.48;0.00166077448023212
"ENSG00000064205.10";-2.53;0.000595362978424428
"ENSG00000065320.9";-1.85;0.00234704099006066
"ENSG00000065325.13";-2.01;0.000663918192548808
"ENSG00000065328.17";2.14;8.39667403089138e-06
"ENSG00000065534.19";-2.48;0.00989132918298813
"ENSG00000065609.14";-2.1;0.00462377323595618
"ENSG00000066279.18";1.82;4.9082661789576e-05
